source,country,timestamp,author,text,sentiment_label,sentiment_score,relevance_kept,engagement,url
youtube,South Africa,2019-09-29T05:43:34+00:00,@janiliebenberg4407,"I live in Cape Town and this is one of the best video's on CT I've seen so far. Short, sweet and accurate. Well done guys!",positive,0.8707,True,6,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgyHPs7Rc2A7Uc4QqC94AaABAg
youtube,South Africa,2017-10-08T14:18:17+00:00,@linelledutoit4380,Im from Cape Town and one of my favorite things to do in the holidays is to visit the V&A Waterfront shopping mall.,positive,0.6808,True,1,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzKtJvsCPoDlcFreOp4AaABAg
youtube,South Africa,2018-03-23T19:28:34+00:00,@timabdair1067,"I'm from Cape Town, South Africa and couldn't agree more about the top 10 destinations you put up! So lovely to hear it's one of your favourite cities!",positive,0.7509,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugy4JABKIRZ0NSDkF594AaABAg
youtube,South Africa,2015-06-08T13:41:08+00:00,@chelseasmith34,"Hey guys, I'm from Cape Town and highly suggest paying a visit to Kalk Bay. It's a small harbour town with a vibrant market atmosphere. Also, the summer concerts at Kirstenbosch are a must do. Passenger, Bastille and The Lumineers are among many international bands to have played here, as well as Jeremy Loops, a local singer from Cape Town.",positive,0.7845,True,27,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugh1krK63Uvag3gCoAEC
youtube,South Africa,2018-11-15T16:48:48+00:00,@JoeClement,I would love to visit Cape Town some day! It looks like it has some of the most beautiful beaches in the world,positive,0.9039,True,1,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugz-5SM5ltIJc0zYMpN4AaABAg
youtube,South Africa,2015-06-17T04:08:38+00:00,@EcoteTravelersFilms,Loved this video! Cape Town is one of my favorite cities in this world. I would also highly recommend going to boulders beach to see the Penguins. It's an absolutely amazing sight to watch penguins emerge from the ocean.,positive,0.9334,True,2,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UghXAT5BP_OnQHgCoAEC
youtube,South Africa,2016-08-17T06:11:39+00:00,@NicRed,Im a vlogger from Cape Town and this was spot on !!!,neutral,0.0,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggA5hMPidM09XgCoAEC
youtube,South Africa,2017-06-15T16:35:16+00:00,@sanashamoodley1523,So blessed to be living in Cape Town. Don't forget to check out Ratanga Junction and the V&A Waterfront.,positive,0.7058,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgjdWcTWBJ6h0HgCoAEC
youtube,South Africa,2017-12-08T17:02:17+00:00,@seanyq1,Cool! Just starting researching for an upcoming trip from Australia. Straight to the point and I love it!,positive,0.8395,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxTW3AnETlMpZUemR14AaABAg
youtube,South Africa,2016-05-25T22:21:01+00:00,@maxicool199221,I'm from Belgium and I'm going in Cape Town next year for a language travel. I just cant' wait! Thanks for the nice video :-),positive,0.4563,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugi398KkNZopJ3gCoAEC
youtube,South Africa,2019-10-09T17:43:39+00:00,@andi_mizberry,V&A Waterfront is also a must. One of my favourite places in Cape Town,neutral,0.0,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxKcWnhZCK7BwOCfjd4AaABAg
youtube,South Africa,2016-12-05T14:34:47+00:00,@adrianek12102008,"cape town looks amazing I only randomly clicked into few videos about Cape, previously knowing only basic geographical info about this city and I'm quite excited to travel there in the near future, thanks for the video, regards from Poland",positive,0.8553,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgipUul1_OmBAngCoAEC
youtube,South Africa,2016-07-19T14:06:14+00:00,@ELenaJoyce95,I lived in Cape Town for a year and it really is the most amazing city. I actually did all the things mentioned without watching this video before :) Next time you are there you should check out West Coast Nationalpark. It's about an hour drive away from the city. Or go hiking at the Cristal Pools which is also about an hour drive justin the other direction. It was the most stunning hike I ever did in my life!,positive,0.8828,True,1,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugi_Y0gRAj0gxHgCoAEC
youtube,South Africa,2016-09-13T19:14:06+00:00,@irioosie3858,very few people actually know about mzoli's! glad you guys included it. there is also the butanic kristenbosh gardens just off the n1 against one of the mountain slopes. it houses all the fyn bos native to the western cape. this is a definate must,positive,0.7345,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgiGkIQ3qP4lLHgCoAEC
youtube,South Africa,2015-11-18T13:42:50+00:00,@clairebarrett2596,Hi I'm from Cape town I definitely suggest the penguins at boulders beach aswell as ratings junction in century city which is our very own theme park and also Clifton 4 beaches,positive,0.4019,True,90,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggoX_d5wIHcpXgCoAEC
youtube,South Africa,2017-06-19T12:38:55+00:00,@tucytheworld9527,"Big Bay in Bloubergstrand is a great place to learn to surf, with fantastic views of Table Mountain. A highlight of our trip was Kalk Bay, a beautiful fishing village which is a short drive from Cape Town.",positive,0.9325,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggJPWqt0GSyi3gCoAEC
youtube,South Africa,2017-11-24T02:17:15+00:00,@falconwings1982,"Kirstenbosch Botanical Gardens, Penguins at Boulder Beach, Simon Town, and the township tours!",neutral,0.0,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxWivZTX0ka0lSQAG54AaABAg
youtube,South Africa,2015-12-03T02:26:49+00:00,@leaplimitless4234,We were in Cape Town a few months back. FELL IN LOVE! We have a couple videos highlighting our experience in Cape Town on our channel if you want to reminisce even more :0),positive,0.7597,True,1,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UghiaZ6BtsFLBXgCoAEC
youtube,South Africa,2018-03-10T13:31:06+00:00,@lukemancini-crawford8614,i live in cape town and its very fun ive also been to roben island ans lions head and also table mountain with the cable carts,positive,0.5563,True,1,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzXWwa3mJwx4tXr4z54AaABAg
youtube,South Africa,2019-02-07T14:05:54+00:00,@extraaccount2266,"I’m from Cape Town and if you want to have some fun, go to Rush Claremont!😀",positive,0.75,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugx8r26G90zox8p8u7p4AaABAg
youtube,South Africa,2017-09-10T13:40:01+00:00,@goop8337,i am from cape town and i love going to muizenberg waterslides,positive,0.6369,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgyhSNGz5xDedD8VSS14AaABAg
youtube,South Africa,2016-12-29T17:19:45+00:00,@hawkeye-vv4kb,Kirstenbosch botanical garden is also worth visiting.,positive,0.2263,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugh46CwtsrGNqXgCoAEC
